NETWORK_NAME	PROMO_AIR_DATE	SHOW_AIR_TIME	SHOW_TITILE	PROMO_LENGTH	PROMO_ID	PROMO_AIRED_TIME	PROMO_TITLE	CHANNEL_TIME_ZONE
NBC	2017-07-25	040000	NBC NEWS - EARLY TODAY	30	030B725GON2107H	041023	NBC ENT COMBO PROMOS 2017	EST
NBC	2017-07-25	040000	NBC NEWS - EARLY TODAY	30	030X816MLN1207H	041053	NBC ENT MARLON	EST
NBC	2017-07-25	040000	NBC NEWS - EARLY TODAY	15	015G515NNN1307H	042146	NBC NEWS NIGHTLY NEWS 2017	EST
NBC	2017-07-25	040000	NBC NEWS - EARLY TODAY	15	015W728TDY1107H	042855	NBC NEWS TODAY 2017	EST
NBC	2017-07-25	040000	NBC NEWS - EARLY TODAY	30	030B725GON2107H	042910	NBC ENT COMBO PROMOS 2017	EST
NBC	2017-07-25	040000	NBC NEWS - EARLY TODAY	15	015Y726LFY1107H	042940	NBC ENT LITTLE BIG SHOTS: FOREVER YOUNG	EST
NBC	2017-07-25	040000	NBC NEWS - EARLY TODAY	5	005X816MLN1107H	042955	NBC ENT MARLON	EST
NBC	2017-07-25	070000	NBC NEWS - TODAY I	15	015G731NNN1107H	072102	NBC NEWS NIGHTLY NEWS 2017	EST
NBC	2017-07-25	070000	NBC NEWS - TODAY I	15	015B725GON1107H	072734	NBC ENT AMERICA'S GOT TALENT	EST
NBC	2017-07-25	070000	NBC NEWS - TODAY I	5	005B725WOD1107H	073751	NBC ENT WORLD OF DANCE	EST
NBC	2017-07-25	070000	NBC NEWS - TODAY I	15	015G515NNN1607H	080100	NBC NEWS NIGHTLY NEWS 2017	EST
NBC	2017-07-25	070000	NBC NEWS - TODAY I	15	015B725TJF2107H	080115	NBC ENT TONIGHT SHOW STARRING JIMMY FALLON, THE	EST
NBC	2017-07-25	070000	NBC NEWS - TODAY I	5	005GD31NBC1146H	085950	NBC NEWS SPECIALS 2016	EST
NBC	2017-07-25	070000	NBC NEWS - TODAY I	5	005X816MLN1107H	085955	NBC ENT MARLON	EST
NBC	2017-07-25	090000	NBC NEWS - TODAY II	15	015G515NNN1307H	090918	NBC NEWS NIGHTLY NEWS 2017	EST
NBC	2017-07-25	090000	NBC NEWS - TODAY II	15	015B725GON1107H	091922	NBC ENT AMERICA'S GOT TALENT	EST
NBC	2017-07-25	090000	NBC NEWS - TODAY II	5	005X816MLN1107H	092655	NBC ENT MARLON	EST
NBC	2017-07-25	090000	NBC NEWS - TODAY II	15	015G515NNN1107H	093649	NBC NEWS NIGHTLY NEWS 2017	EST
NBC	2017-07-25	090000	NBC NEWS - TODAY II	15	015S728DAY1107H	094652	NBC ENT DAYS OF OUR LIVES	EST
NBC	2017-07-25	090000	NBC NEWS - TODAY II	5	005GD31NBC1146H	095940	NBC NEWS SPECIALS 2016	EST
NBC	2017-07-25	090000	NBC NEWS - TODAY II	15	015B725WOD1107H	095945	NBC ENT WORLD OF DANCE	EST
NBC	2017-07-25	100000	NBC NEWS - TODAY III	30	030X816MLN1207H	100800	NBC ENT MARLON	EST
NBC	2017-07-25	100000	NBC NEWS - TODAY III	15	015G731NNN1107H	101630	NBC NEWS NIGHTLY NEWS 2017	EST
NBC	2017-07-25	100000	NBC NEWS - TODAY III	15	015S728DAY1107H	101645	NBC ENT DAYS OF OUR LIVES	EST
NBC	2017-07-25	100000	NBC NEWS - TODAY III	30	030B725GON2107H	103230	NBC ENT COMBO PROMOS 2017	EST
NBC	2017-07-25	100000	NBC NEWS - TODAY III	15	NBUS0934H	104100	*NBCU SYMPHONY 2017 (X-CHANNEL)	EST
NBC	2017-07-25	100000	NBC NEWS - TODAY III	15	015A727NIS1107H	104115	NBC ENT NIGHT SHIFT	EST
NBC	2017-07-25	100000	NBC NEWS - TODAY III	30	030X824GLF1F07H	104130	GOLF CHANNEL ON NBC SPORTS	EST
NBC	2017-07-25	100000	NBC NEWS - TODAY III	60	100G926MDZ1207H	104200	NBC ENT L&O: MENENDEZ BROTHERS	EST
NBC	2017-07-25	100000	NBC NEWS - TODAY III	15	015Y726LFY1107H	104800	NBC ENT LITTLE BIG SHOTS: FOREVER YOUNG	EST
NBC	2017-07-25	100000	NBC NEWS - TODAY III	15	015A727HGN1107H	104815	NBC ENT HOLLYWOOD GAME NIGHT	EST
NBC	2017-07-25	100000	NBC NEWS - TODAY III	30	030X810SNL1107H	104830	NBC ENT SATURDAY NIGHT LIVE	EST
NBC	2017-07-25	100000	NBC NEWS - TODAY III	5	005GD31NBC1146H	105855	NBC NEWS SPECIALS 2016	EST
NBC	2017-07-25	100000	NBC NEWS - TODAY III	15	NBCW2654H	105900	NBC NEWS TODAY 2017	EST
NBC	2017-07-25	100000	NBC NEWS - TODAY III	30	030B725GON2107H	105915	NBC ENT COMBO PROMOS 2017	EST
NBC	2017-07-25	100000	NBC NEWS - TODAY III	15	015A727WAL1107H	105945	NBC ENT WALL, THE	EST
NBC	2017-07-25	130000	NBC ENTERTAINMENT:  DAYS OF OUR LIVES (TU-TH) (60 minutes)	5	005B725WOD1107H	130757	NBC ENT WORLD OF DANCE	EST
NBC	2017-07-25	130000	NBC ENTERTAINMENT:  DAYS OF OUR LIVES (TU-TH) (60 minutes)	5	005A727HGN1107H	131559	NBC ENT HOLLYWOOD GAME NIGHT	EST
NBC	2017-07-25	130000	NBC ENTERTAINMENT:  DAYS OF OUR LIVES (TU-TH) (60 minutes)	5	005X810SNL1107H	132332	NBC ENT SATURDAY NIGHT LIVE	EST
NBC	2017-07-25	130000	NBC ENTERTAINMENT:  DAYS OF OUR LIVES (TU-TH) (60 minutes)	5	005B725TJF1107H	132337	NBC ENT TONIGHT SHOW STARRING JIMMY FALLON, THE	EST
NBC	2017-07-25	130000	NBC ENTERTAINMENT:  DAYS OF OUR LIVES (TU-TH) (60 minutes)	15	015B725GON1107H	133209	NBC ENT AMERICA'S GOT TALENT	EST
NBC	2017-07-25	130000	NBC ENTERTAINMENT:  DAYS OF OUR LIVES (TU-TH) (60 minutes)	15	015B725WOD1107H	134022	NBC ENT WORLD OF DANCE	EST
NBC	2017-07-25	130000	NBC ENTERTAINMENT:  DAYS OF OUR LIVES (TU-TH) (60 minutes)	30	030X810SNL1107H	134037	NBC ENT SATURDAY NIGHT LIVE	EST
NBC	2017-07-25	130000	NBC ENTERTAINMENT:  DAYS OF OUR LIVES (TU-TH) (60 minutes)	15	015Y726LFY1107H	134904	NBC ENT LITTLE BIG SHOTS: FOREVER YOUNG	EST
NBC	2017-07-25	130000	NBC ENTERTAINMENT:  DAYS OF OUR LIVES (TU-TH) (60 minutes)	15	015A727WAL1107H	134919	NBC ENT WALL, THE	EST
NBC	2017-07-25	130000	NBC ENTERTAINMENT:  DAYS OF OUR LIVES (TU-TH) (60 minutes)	15	015X816MLN1207H	134934	NBC ENT MARLON	EST
NBC	2017-07-25	130000	NBC ENTERTAINMENT:  DAYS OF OUR LIVES (TU-TH) (60 minutes)	15	NBUS0934H	135945	*NBCU SYMPHONY 2017 (X-CHANNEL)	EST
NBC	2017-07-25	183000	NBC NEWS - NIGHTLY NEWS	15	015A727TDY1107H	183616	NBC NEWS TODAY 2017	EST
NBC	2017-07-25	183000	NBC NEWS - NIGHTLY NEWS	15	015G831MKE1137H	183631	NBC News Sunday Night Megyn Kelly	EST
NBC	2017-07-25	183000	NBC NEWS - NIGHTLY NEWS	30	030GD31NNN3307H	184332	NBC NEWS NIGHTLY NEWS 2015	EST
