Project Id,Approval Date,Show Name,Source,Video Title,Length,Status,Watch,Sunset Date,Music,Music Info,Promo Code,Notes,PR,On-Air,,Digital,,,Social,Off Air
60456,6/28/2017,2017 Special Projects,TOP,Macy's 4th,0:05,Live,Rough Final Create Video Quick Link,,Library,,005X704SPL1107H,,,,,,,,,
60491,6/28/2017,2017 Special Projects,TOP,Macy's 4th Of July,0:15,Live,Rough Final Create Video Quick Link,,Library,,015X704SPL1107H,,,,,,,,,
60206,6/20/2017,2017 Special Projects,TOP,Despicable Me with DM3 Sneak,0:15,Live,Rough Final Create Video Quick Link,,Library,,015A625MOW1107H,,,,,,,,,
60166,6/19/2017,2017 Special Projects,TOP,Week 3 Promo,0:05,Live,Rough Final Create Video Quick Link,,Library,,005A626SPN1107H,,,,,,,,,
60151,6/16/2017,2017 Special Projects,TOP,EP 203 Look Ahead,0:15,Live,Rough Final Create Video Quick Link,,Library,,015T626SPN1107H,Spartan,,,,,,,,
60126,6/15/2017,2017 Special Projects,TOP,Monday Line Up,0:30,Live,Rough Final Create Video Quick Link,,Library,,030A619ANW2107H,,,6/15/2017,On-Air,,,,,
60406,,2017 Special Projects,TOP,Macy's 4th Of July,0:30,Live,Rough Final Create Video Quick Link,,Library,,030X704SPL1107H,,,6/27/2017,On-Air,,,,,
60831,7/14/2017,American Ninja Warrior S9,TOP,EP 907 Look Ahead,0:30,Live,Rough,,Library,,030T724ANW2107H,,,,,,,,,
60766,7/13/2017,American Ninja Warrior S9,TOP,Emmy Nom,0:05,Live,Rough Final Create Video Quick Link,,Library,,005A717ANW1207H,,,,,,,,,
60736,7/13/2017,American Ninja Warrior S9,TOP,Emmy Nod,0:30,Live,Rough Final Create Video Quick Link,,Library,,030A717ANW1207H,,,,,,,,,
60696,7/12/2017,American Ninja Warrior S9,TOP,Wounded Vet,0:05,Live,Rough Final Create Video Quick Link,,Library,,005A717ANW1107H,,,,,,,,,
60691,7/12/2017,American Ninja Warrior S9,TOP,Wounded Vet,0:30,Live,Rough Final Create Video Quick Link,,Library,,030A717ANW1107H,,,,,7/13/2017,Digital,NBC.com,,
,,,,,,,,,,,,,,,,7/13/2017,Digital,,,
,,,,,,,,,,,,,,,,7/13/2017,Digital,Hulu,,
,,,,,,,,,,,,,,,,7/13/2017,Digital,YouTube,,
60611,7/7/2017,American Ninja Warrior S9,TOP,Monday Line- Up,0:30,Live,Rough,,Library,,030T710ANW2107H,No new gfx.,,,,,,,,
60571,7/7/2017,American Ninja Warrior S9,TOP,EP 906 Look Ahead,0:30,Live,Rough,,Library,,030T717ANW2107H,,,,,,,,,
60576,7/7/2017,American Ninja Warrior S9,TOP,EP 906 Look Ahead,0:15,Live,Rough Final Create Video Quick Link,,Library,,015A717ANW1107H,,,,,,,,,
60546,6/29/2017,American Ninja Warrior S9,TOP,Fantastic Females,0:05,Live,Rough Final Create Video Quick Link,,Library,,005A710ANW1107H,,,7/5/2017,On-Air,,,,,
60516,6/29/2017,American Ninja Warrior S9,TOP,ANW / SPT Combo Look Ahead,0:30,Live,Rough,,Library,,030T710ANW2107H,,,,,,,,,
60536,6/29/2017,American Ninja Warrior S9,TOP,Fantastic Females,0:30,Live,Rough Final Create Video Quick Link,,Library,,030A710ANW1107H,For 6/10,,7/5/2017,On-Air,,,,,
60506,6/28/2017,American Ninja Warrior S9,TOP,Monday Line Up,0:30,Live,Rough Final Create Video Quick Link,,Library,,030A703ANW2207H,,,,,,,,,
60326,6/23/2017,American Ninja Warrior S9,TOP,Monday Line-Up,0:30,Live,Rough Final Create Video Quick Link,,Library,,030A626ANW2207H,,,6/25/2017,On-Air,,,,,
60821,7/13/2017,America?s Got Talent S12,TOP,Tuesday Line-Up,0:30,Live,Rough Final Create Video Quick Link,,Library,,030A718GON2107H,,,7/14/2017,On-Air,,,,,
60746,7/13/2017,America?s Got Talent S12,TOP,EP 1208 Look Ahead,0:30,Live,Rough Final Create Video Quick Link,,Library,sonic librarian ? SL104 ? 50 Violets of Grey,030A718GON1107H,,,,,,,,,
60751,7/13/2017,America?s Got Talent S12,TOP,Guest Judge Hardwick,0:05,Live,Rough Final Create Video Quick Link,,Library,sonic librarian ? SL114 ? 49 army of immortals,005A718GON1107H,,,,,,,,,
60741,7/13/2017,America?s Got Talent S12,TOP,Guest Judge Chris Hardwick,0:15,Live,Rough Final Create Video Quick Link,,Library,sonic librarian ? SL114 ? 49 army of immortals,015A718GON1107H,,,,,,,,,
60686,7/12/2017,America?s Got Talent S12,TOP,Special Episode,0:15,Live,Rough Final Create Video Quick Link,,Library,sonic librarian ? national dispute,015A713GON1107H,,,,,,,,,
60671,7/11/2017,America?s Got Talent S12,TOP,EP1207/EP1208 Look Ahead,0:30,Live,Rough,,Library,,030A713GON2107H,,,,,,,,,
60521,6/29/2017,America?s Got Talent S12,TOP,Winning Tuesday Line Up,0:30,Live,Rough Final Create Video Quick Link,,Library,,030T711GON2107H,,,7/5/2017,On-Air,,,,,
60466,6/28/2017,America?s Got Talent S12,TOP,Most Watched Ever,0:05,Live,Rough Final Create Video Quick Link,,Library,Sonic Librarian: SL077 ? 019 ?Rise of Drones?,005A711GON1107H,,,,,,,,,
60426,6/27/2017,America?s Got Talent S12,TOP,Most Watched Ever,0:15,Live,Rough Final Create Video Quick Link,,Library,,015A711GON1107H,,,,,,,,,
60381,6/26/2017,America?s Got Talent S12,TOP,Most Watched,0:30,Live,Rough Final Create Video Quick Link,,Library,,030A711GON1207H,*tag change needed,,,,,,,,
60356,6/26/2017,America?s Got Talent S12,TOP,Tuesday Line-Up,0:30,Live,Rough Final Create Video Quick Link,,Library,,030A627GON2107H,,,,,,,,,
60376,6/26/2017,America?s Got Talent S12,TOP,EP 1206 Look Ahead,0:30,Live,Rough Final Create Video Quick Link,,Library,,030G711GON1107H,,,,,,,,,
60191,6/19/2017,America?s Got Talent S12,TOP,Extraordinary,0:15,Live,Rough Final Create Video Quick Link,,Library,"Frozen worlds, full mix with choir",015A627GON1107H,,,,,,,,,
60196,6/19/2017,America?s Got Talent S12,TOP,Danger/Imagination/Magic,0:05,Live,Rough Final Create Video Quick Link,,Library,,005A627GON1107H,,,,,,,,,
60186,6/19/2017,America?s Got Talent S12,TOP,EP 1205 Look Ahead,0:30,Live,Rough Final Create Video Quick Link,,Library,"Frozen worlds, full mix with choir",030T627GON1107H,,,,,,,,,
60156,6/16/2017,America?s Got Talent S12,TOP,Tuesday Line- Up,0:30,Live,Rough Final Create Video Quick Link,,Library,,030A620GON2107H,,,6/19/2017,On-Air,,,,,
60401,6/28/2017,"Brave, The",LCOP,Unknown,0:30,Live,Rough Final Create Video Quick Link,,Library,,030G925FGC1207H,,,7/5/2017,On-Air,,,,,
60396,6/28/2017,"Brave, The",LCOP,Unknown,0:15,Live,Rough Final Create Video Quick Link,,Library,,015G925FGC1107H,,,7/5/2017,On-Air,,,,,
60346,6/26/2017,"Brave, The",LCOP,Heroes,0:30,Live,Rough Final Create Video Quick Link,,Licensed,?Hold On for your Life?- Sam Tinnesz,030G925FGC1107H,,,6/30/2017,On-Air,,,,,
60471,6/28/2017,"Carmichael Show, The S3",TOP,Milf,0:05,Live,Rough Final Create Video Quick Link,,Library,,005Q628JER1107H,,,,,,,,,
60351,6/23/2017,"Carmichael Show, The S3",TOP,Recording,0:15,Live,Rough,,Library,,015G712JER1107H,,,,,,,,,
60236,6/21/2017,"Carmichael Show, The S3",TOP,Tickets,0:05,Live,Rough Final Create Video Quick Link,,Library,,005Q621JER1207H,,,,,,,,,
60181,6/19/2017,"Carmichael Show, The S3",TOP,Read,0:15,Live,Rough Final Create Video Quick Link,,Library,,015A621JER1107H,,,6/20/2017,On-Air,,,,,
60121,6/15/2017,"Carmichael Show, The S3",TOP,Birthday,0:30,Live,Rough Final Create Video Quick Link,,Library,,030A621JER1107H,,,6/16/2017,On-Air,,,,,
60541,6/29/2017,Hollywood Game Night S4,TOP,Thursday 3-Way Line Up,0:30,Live,Rough Final Create Video Quick Link,,Library,,030A706HGN3107H,For 6/6,,7/5/2017,On-Air,,,,,
60496,6/28/2017,Hollywood Game Night S4,TOP,Super Duper Store Night,0:05,Live,Rough Final Create Video Quick Link,,Library,,005A706HGN1107H,,,7/5/2017,On-Air,,,,,
60421,6/27/2017,Hollywood Game Night S4,TOP,EP 502 Look Ahead,0:15,Live,Rough Final Create Video Quick Link,,Library,,015T706HGN1107H,"""Super Duper Store Night""",,,,,,,,
60321,6/23/2017,Hollywood Game Night S4,TOP,Playing Hardwick to Get,0:05,Live,Rough Final Create Video Quick Link,,Library,,005A629HGN1107H,,,,,,,,,
60341,6/23/2017,Hollywood Game Night S4,TOP,Thursday Line-Up,0:30,Live,Rough Final Create Video Quick Link,,Library,,030A629HGN3107H,,,6/25/2017,On-Air,,,,,
60251,6/21/2017,Hollywood Game Night S4,TOP,EP 503 Look Ahead,0:15,Live,Rough Final Create Video Quick Link,,Library,,015T629HGN1107H,"""Playing Hardwick to Get""",,,,,,,,
60246,6/21/2017,Little Big Shots S2,TOP,EP 104 Look Ahead,0:30,Live,Rough Final Create Video Quick Link,,Library,,030T628LFY1107H,Little Big Shots- FOREVER YOUNG Airs tonight,,,,,,,,
60116,6/15/2017,Little Big Shots S2,TOP,Betty White,0:15,Live,Rough Final Create Video Quick Link,,Library,,015A621LFY1307H,Little Big Shots Forever Young,,6/16/2017,On-Air,,,,,
60771,7/13/2017,Little Big Shots:FY,TOP,Eaters,0:05,Live,Rough Final Create Video Quick Link,,Library,,005A719LFY1107H,,,,,,,,,
60756,7/13/2017,Little Big Shots:FY,TOP,Eaters,0:15,Live,Rough Final Create Video Quick Link,,Library,,015A719LFY1107H,,,,,,,,,
60701,7/12/2017,Little Big Shots:FY,TOP,EP 105 Look Ahead,0:30,Live,Rough Final Create Video Quick Link,,Library,,030T719LFY1107H,,,,,,,,,
60626,7/7/2017,Little Big Shots:FY,TOP,EP 103 Promo,0:15,Live,Rough Final Create Video Quick Link,,Library,,015A712LFY1107H,,,,,,,,,
60631,7/7/2017,Little Big Shots:FY,TOP,EP 103 Look Ahead,0:05,Live,Rough Final Create Video Quick Link,,Library,,005A712LFY1107H,,,,,,,,,
60461,6/28/2017,Little Big Shots:FY,TOP,Cougar,0:15,Live,Rough Final Create Video Quick Link,,Library,,015A705LFY1107H,,,,,,,,,
60501,6/28/2017,Little Big Shots:FY,TOP,Gymnast,0:05,Live,Rough Final Create Video Quick Link,,Library,,005A705LFY1107H,,,,,,,,,
60416,6/27/2017,Little Big Shots:FY,TOP,EP 102 Look Ahead,0:30,Live,Rough Final Create Video Quick Link,,Library,,030T705LFY1107H,,,,,,,,,
60336,6/23/2017,Little Big Shots:FY,TOP,Be Great,0:05,Live,Rough Final Create Video Quick Link,,Library,,005A628LFY1107H,,,6/25/2017,On-Air,,,,,
60316,6/23/2017,Little Big Shots:FY,TOP,Push Ups,0:15,Live,Rough Final Create Video Quick Link,,Library,,015A628LFY1107H,,,6/23/2017,On-Air,,,,,
60266,6/22/2017,Marlon S1,LCOP,Jury,0:15,Live,Rough Final Create Video Quick Link,,Library,,015X816MLN1407H,,,6/28/2017,On-Air,,,,,
60161,6/20/2017,Marlon S1,LCOP,Spelling Bee,0:30,Live,Rough Final Create Video Quick Link,,Library,,030X816MLN1407H,,,6/22/2017,On-Air,7/18/2017,Digital,NBC.com,,
,,,,,,,,,,,,,,,,7/18/2017,Digital,,,
,,,,,,,,,,,,,,,,7/18/2017,Digital,YouTube,,
59961,6/12/2017,Marlon S1,LCOP,Names,0:30,Live,Rough Final Create Video Quick Link,,Library,,030X816MLN1307H,,,6/19/2017,On-Air,7/24/2017,Digital,NBC.com,,
,,,,,,,,,,,,,,,,7/24/2017,Digital,,,
,,,,,,,,,,,,,,,,7/24/2017,Digital,YouTube,,
60606,7/7/2017,Menendez Murders,LCOP,Captivating,1:00,Live,Rough Final Create Video Quick Link,,Library,,100G926MDZ1207H,,,7/12/2017,On-Air,,,,,
60591,7/5/2017,Menendez Murders,LCOP,Falco,0:15,Live,Rough Final Create Video Quick Link,,Library,,015G926MDZ1107H,,,7/10/2017,On-Air,,,,,
60586,7/5/2017,Menendez Murders,LCOP,Motive,0:30,Live,Rough Final Create Video Quick Link,,Library,,030G926MDZ1307H,,,7/14/2017,On-Air,,,,,
60436,6/28/2017,Menendez Murders,LCOP,Family,0:30,Live,Rough Final Create Video Quick Link,,Licensed,?Genesis? by Ruelle.,030G926MDZ1407H,,,7/4/2017,On-Air,,,,,
